species,n_cells,n_records,local_ext_2020s,local_ext_2030s,low_N_warning
Acanthodactylus boskianus,1,1,0.0,0.0,True
Acanthodactylus erythrurus,145,5155,0.0,0.0,False
Algyroides marchi,8,349,0.0,0.0,True
Australolacerta australis,1,1,0.0,0.0,True
Dormaalisaurus girardoti,1,1,0.0,0.0,True
Dormaalisaurus rossmanni,1,1,0.0,0.0,True
Gallotia atlantica,1,2,0.0,0.0,True
Gallotia caesaris,1,1,0.0,0.0,True
Gallotia galloti,2,3,0.0,0.0,True
Gallotia stehlini,1,1,0.0,0.0,True
Gracilicerta sindexi,1,1,0.0,0.0,True
Iberolacerta aranica,4,88,0.0,0.0,True
Iberolacerta aurelioi,5,93,0.0,0.0,True
Iberolacerta bonnali,7,212,0.0,0.0,True
Iberolacerta cyreni,13,841,0.0,0.0,False
Iberolacerta galani,3,109,0.0,0.0,True
Iberolacerta martinezricai,2,15,0.0,0.0,True
Iberolacerta monticola,38,2244,0.0,0.0,False
Lacerta,3,4,0.0,0.0,True
Lacerta agilis,13,263,0.0,0.0,False
Lacerta bilineata,56,3438,0.0,0.0,False
Lacerta schreiberi,78,3611,0.0,0.0,False
Lacerta viridis,16,81,0.0,0.0,False
Mesalina olivieri,1,1,0.0,0.0,True
Podarcis bocagei,39,3644,0.0,0.0,False
Podarcis carbonelli,10,513,0.0,0.0,False
Podarcis galerai,1,1,0.0,0.0,True
Podarcis guadarramae,44,2224,0.0,0.0,False
Podarcis hispanicus,229,6390,0.0,0.0,False
Podarcis lilfordi,11,661,0.0,0.0,False
Podarcis liolepis,106,9610,0.0,0.0,False
Podarcis melisellensis,1,1,0.0,0.0,True
Podarcis muralis,99,13405,0.0,0.0,False
Podarcis pityusensis,18,1724,0.0,0.0,False
Podarcis siculus,12,153,0.0,0.0,False
Podarcis vaucheri,41,4754,0.0,0.0,False
Podarcis virescens,63,1737,0.0,0.0,False
Psammodromus algirus,219,27940,0.0,0.0,False
Psammodromus blanci,1,2,0.0,0.0,True
Psammodromus edwarsianus,68,1046,0.0,0.0,False
Psammodromus hispanicus,189,3322,0.0,0.0,False
Psammodromus occidentalis,49,275,0.0,0.0,False
Scelarcis perspicillata,3,49,0.0,0.0,True
Timon lepidus,229,21840,0.0,0.0,False
Timon nevadensis,43,1034,0.0,0.0,False
Timon tangitanus,1,13,0.0,0.0,True
Zootoca vivipara,43,1240,0.0,0.0,False
